行 ID,オーダー ID,オーダー日,出荷日,出荷モード,顧客 ID,顧客名,顧客区分,市区町村,都道府県,国/領域,地域,製品 ID,カテゴリ,サブカテゴリ,製品名,売上,数量,割引率,利益,緯度,経度,地域マネージャー,予算,返品
11,JP-2018-1003752,2018-10-30 00:00:00,2018-11-04 00:00:00,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-保管-10002336,事務用品,保管箱,"Rogers ファイル カート, 業務用",18944,2,0,3788,33.6064,130.4181,矢幡 翔太,35000000,
12,JP-2018-1003752,2018-10-30 00:00:00,2018-11-04 00:00:00,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-バイ-10002722,事務用品,バインダー,"カーディナル タブ, 高耐久性",4672,8,0,1536,33.6064,130.4181,矢幡 翔太,35000000,
13,JP-2018-1003752,2018-10-30 00:00:00,2018-11-04 00:00:00,セカンド クラス,東麗-17905,東條 麗華,大企業,久留米市,福岡県,日本,九州,事務用-ラベ-10002544,事務用品,ラベル,"Novimex 輸送用ラベル, 白",3660,5,0,1280,33.6064,130.4181,矢幡 翔太,35000000,
14,JP-2019-1006716,2019-05-26 00:00:00,2019-06-02 00:00:00,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-アプ-10004321,事務用品,アプライアンス,"ブレビル コンロ, 赤",112308,3,0,28074,35.8569,139.6489,中吉 孝,50000000,
15,JP-2019-1006716,2019-05-26 00:00:00,2019-06-02 00:00:00,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-封筒-10001144,事務用品,封筒,"Cameo クラフト封筒, シルバー",7146,9,0,2628,35.8569,139.6489,中吉 孝,50000000,
16,JP-2019-1006716,2019-05-26 00:00:00,2019-06-02 00:00:00,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-クリ-10000147,事務用品,クリップ,"Stockwell ホチキス, 大容量パック",2082,3,0,78,35.8569,139.6489,中吉 孝,50000000,
17,JP-2019-1006716,2019-05-26 00:00:00,2019-06-02 00:00:00,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,事務用-封筒-10002464,事務用品,封筒,"Cameo 各種封筒, 赤",22240,8,0,7104,35.8569,139.6489,中吉 孝,50000000,
18,JP-2019-1006716,2019-05-26 00:00:00,2019-06-02 00:00:00,通常配送,堀慶-14260,堀籠 慶子,小規模事業所,坂戸市,埼玉県,日本,関東地方,家電-事務-10004219,家電,事務機器,"OKI データ カード プリンター, 赤",46128,4,0,9224,35.8569,139.6489,中吉 孝,50000000,
19,JP-2019-1008702,2019-09-30 00:00:00,2019-10-04 00:00:00,通常配送,皆学-10465,皆川 学,消費者,旭川市,北海道,日本,北海道,事務用-封筒-10001943,事務用品,封筒,"Kraft 社内用封筒, 50 枚セット",5630.4,3,0.4,-657.6,43.0642,141.3469,宮前 誠,20000000,
20,JP-2017-1009485,2017-06-06 00:00:00,2017-06-08 00:00:00,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,家具-椅子-10004250,家具,椅子,"Office Star 肘掛け椅子, 赤",155810,5,0,32720,35.1802,136.9066,辻岡 美羽,40000000,○
21,JP-2017-1009485,2017-06-06 00:00:00,2017-06-08 00:00:00,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,事務用-ラベ-10001565,事務用品,ラベル,"Hon ファイル フォルダ ラベル, 白",2304,4,0,136,35.1802,136.9066,辻岡 美羽,40000000,○
22,JP-2017-1009485,2017-06-06 00:00:00,2017-06-08 00:00:00,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,家具-テー-10001743,家具,テーブル,"Lesro 木製テーブル, 長方形",111600,6,0.4,-11160,35.1802,136.9066,辻岡 美羽,40000000,○
23,JP-2017-1009485,2017-06-06 00:00:00,2017-06-08 00:00:00,ファースト クラス,日拓-11500,日野 拓也,消費者,豊田市,愛知県,日本,中部地方,家具-椅子-10000875,家具,椅子,"Hon 折り畳み式の椅子, 2 つセット",50202,9,0,24588,35.1802,136.9066,辻岡 美羽,40000000,○
24,JP-2017-1012065,2017-09-27 00:00:00,2017-09-30 00:00:00,ファースト クラス,植丈-10390,植草 丈夫,消費者,芦屋市,兵庫県,日本,関西地方,家具-椅子-10000166,家具,椅子,"Office Star ビーチ チェア, 2 つセット",23076,6,0,2760,34.6913,135.183,金児 皐,50000000,○
25,JP-2017-1012065,2017-09-27 00:00:00,2017-09-30 00:00:00,ファースト クラス,植丈-10390,植草 丈夫,消費者,芦屋市,兵庫県,日本,関西地方,家具-家具-10002886,家具,家具,"Advantus ドア ストッパー, プレミアム",8730,3,0,258,34.6913,135.183,金児 皐,50000000,○
26,JP-2019-1012835,2019-12-29 00:00:00,2020-01-01 00:00:00,ファースト クラス,浜重-19690,浜砂 重子,消費者,箕面市,大阪府,日本,関西地方,家電-コピ-10003817,家電,コピー機,"キヤノン コピー機, 赤",104136,6,0,41652,34.6937,135.5023,金児 皐,50000000,
27,JP-2019-1012835,2019-12-29 00:00:00,2020-01-01 00:00:00,ファースト クラス,浜重-19690,浜砂 重子,消費者,箕面市,大阪府,日本,関西地方,家電-事務-10003474,家電,事務機器,"StarTech 計算機, 赤",7422,3,0,366,34.6937,135.5023,金児 皐,50000000,
28,JP-2018-1013498,2018-07-19 00:00:00,2018-07-24 00:00:00,通常配送,幕千-21865,幕田 千代子,消費者,北上市,岩手県,日本,東北地方,家電-付属-10002701,家電,付属品,"ベルキン ルータ, 高耐久性",20716.8,2,0.4,-3.2,39.7036,141.1527,駒田 静香,20000000,
29,JP-2016-1013528,2016-11-27 00:00:00,2016-11-29 00:00:00,ファースト クラス,大由-11455,大郷 由美,小規模事業所,東広島市,広島県,日本,中国地方,事務用-画材-10002727,事務用品,画材,"BIC 鉛筆削り, メタル",4237.8,3,0.3,-1276.2,34.3963,132.4596,雨宮 武,30000000,
30,JP-2016-1014041,2016-08-13 00:00:00,2016-08-18 00:00:00,通常配送,加翼-13420,加川 翼,大企業,蒲生郡日野町,滋賀県,日本,関西地方,家電-付属-10003172,家電,付属品,"サンディスク ルータ, リサイクル",33888,2,0,9824,35.0045,135.8686,金児 皐,50000000,
31,JP-2016-1014041,2016-08-13 00:00:00,2016-08-18 00:00:00,通常配送,加翼-13420,加川 翼,大企業,蒲生郡日野町,滋賀県,日本,関西地方,家電-付属-10000955,家電,付属品,"サンディスク フラッシュ ドライブ, プログラミング可能",5472,2,0,1532,35.0045,135.8686,金児 皐,50000000,
32,JP-2019-1014625,2019-10-15 00:00:00,2019-10-20 00:00:00,通常配送,小太-19585,小堺 太陽,消費者,新宿区,東京都,日本,関東地方,事務用-紙-10002405,事務用品,紙,"Green Bar 硫酸紙, マルチカラー",5125.5,5,0.15,1745.5,35.6895,139.6917,中吉 孝,50000000,
33,JP-2019-1014625,2019-10-15 00:00:00,2019-10-20 00:00:00,通常配送,小太-19585,小堺 太陽,消費者,新宿区,東京都,日本,関東地方,事務用-アプ-10002118,事務用品,アプライアンス,"クイジナート 冷蔵庫, 赤",28111.2,1,0.15,1983.2,35.6895,139.6917,中吉 孝,50000000,
34,JP-2019-1014625,2019-10-15 00:00:00,2019-10-20 00:00:00,通常配送,小太-19585,小堺 太陽,消費者,新宿区,東京都,日本,関東地方,事務用-画材-10002605,事務用品,画材,"Boston スケッチ帳, 大容量パック",8307.9,3,0.15,1755.9,35.6895,139.6917,中吉 孝,50000000,
35,JP-2018-1015132,2018-08-13 00:00:00,2018-08-17 00:00:00,通常配送,伊正-18655,伊志嶺 正博,大企業,東村山郡中山町,山形県,日本,東北地方,家具-家具-10002975,家具,家具,"Tenex フォト フレーム, 高耐久性",13032,4,0,4952,38.2404,140.3633,駒田 静香,20000000,
36,JP-2019-1015449,2019-11-07 00:00:00,2019-11-11 00:00:00,通常配送,西颯-11710,西見 颯太,消費者,市原市,千葉県,日本,関東地方,家具-椅子-10001202,家具,椅子,"Novimex スツール, 2 つセット",20005.2,3,0.4,-11008.8,35.6046,140.1233,中吉 孝,50000000,
37,JP-2018-1015946,2018-11-24 00:00:00,2018-11-29 00:00:00,通常配送,川一-11995,川崎 一樹,消費者,宇佐市,大分県,日本,九州,事務用-画材-10000863,事務用品,画材,"Stanley キャンバス, 青",6596,2,0,1780,33.2382,131.6126,矢幡 翔太,35000000,
38,JP-2018-1016000,2018-05-27 00:00:00,2018-06-01 00:00:00,通常配送,阿真-11125,阿藤 真,小規模事業所,三田市,兵庫県,日本,関西地方,事務用-画材-10003313,事務用品,画材,"Boston 蛍光ペン, 青",2516,2,0,500,34.6913,135.183,金児 皐,50000000,
39,JP-2019-1016798,2019-06-14 00:00:00,2019-06-18 00:00:00,通常配送,二翔-13375,二川 翔太,消費者,長岡市,新潟県,日本,中部地方,家電-付属-10000955,家電,付属品,"サンディスク フラッシュ ドライブ, プログラミング可能",19152,7,0,5362,37.9026,139.0236,辻岡 美羽,40000000,
40,JP-2019-1016798,2019-06-14 00:00:00,2019-06-18 00:00:00,通常配送,二翔-13375,二川 翔太,消費者,長岡市,新潟県,日本,中部地方,家具-本棚-10004867,家具,本棚,"イケア キャビネット, メタル",37840,4,0,18536,37.9026,139.0236,辻岡 美羽,40000000,
41,JP-2017-1017704,2017-11-27 00:00:00,2017-11-28 00:00:00,ファースト クラス,稲静-14635,稲木 静香,大企業,宇部市,山口県,日本,中国地方,事務用-封筒-10000912,事務用品,封筒,"Cameo 業務用封筒, シルバー",1548,2,0.4,-208,34.1859,131.4714,雨宮 武,30000000,
42,JP-2018-1017940,2018-04-20 00:00:00,2018-04-26 00:00:00,通常配送,西大-10825,西坂 大和,大企業,国分寺市,東京都,日本,関東地方,事務用-ラベ-10001049,事務用品,ラベル,"Novimex 法的提出用ラベル, 調整可能",1897.2,4,0.15,-22.8,35.6895,139.6917,中吉 孝,50000000,
43,JP-2018-1017940,2018-04-20 00:00:00,2018-04-26 00:00:00,通常配送,西大-10825,西坂 大和,大企業,国分寺市,東京都,日本,関東地方,家電-コピ-10002551,家電,コピー機,"ブラザー 無線ファックス, 2 つセット",85863.6,4,0.15,7063.6,35.6895,139.6917,中吉 孝,50000000,
44,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-本棚-10004988,家具,本棚,"Dania 書庫, 黒",169750,7,0,47530,34.6618,133.935,雨宮 武,30000000,
45,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-バイ-10004812,事務用品,バインダー,"アコ タブ, クリア",2680,5,0,480,34.6618,133.935,雨宮 武,30000000,
46,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-封筒-10004780,事務用品,封筒,"Kraft 茶封筒, シルバー",5778,3,0,2712,34.6618,133.935,雨宮 武,30000000,
47,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-バイ-10001121,事務用品,バインダー,"Avery とじ機, リサイクル",13120,4,0,4720,34.6618,133.935,雨宮 武,30000000,
48,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-アプ-10000399,事務用品,アプライアンス,"ブレビル 冷蔵庫, 赤",69244,2,0,33928,34.6618,133.935,雨宮 武,30000000,
49,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-家具-10002095,家具,家具,"Eldon 積み重ねトレイ, プレミアム",8032,4,0,560,34.6618,133.935,雨宮 武,30000000,
50,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-保管-10002374,事務用品,保管箱,"Eldon 棚, フル サイズ",16150,5,0,425,34.6618,133.935,雨宮 武,30000000,
51,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-本棚-10002255,家具,本棚,"Dania 本棚, メタル",32280,4,0,2576,34.6618,133.935,雨宮 武,30000000,
52,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-家具-10001219,家具,家具,"Advantus フレーム, マルチパック",14824,2,0,1184,34.6618,133.935,雨宮 武,30000000,
53,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-ラベ-10004553,事務用品,ラベル,"Smead 丸型ラベル, 調整可能",640,2,0,196,34.6618,133.935,雨宮 武,30000000,
54,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-ラベ-10000851,事務用品,ラベル,"Harbour Creations 取り外し可能ラベル, 白",690,1,0,206,34.6618,133.935,雨宮 武,30000000,
55,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家電-事務-10004480,家電,事務機器,"OKI データ プリンター, マルチカラー",17900,1,0,6086,34.6618,133.935,雨宮 武,30000000,
56,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,事務用-バイ-10001271,事務用品,バインダー,"カーディナル タブ, クリア",2240,5,0,130,34.6618,133.935,雨宮 武,30000000,
57,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家電-付属-10001019,家電,付属品,"エナーマックス キーパッド, プログラミング可能",7844,2,0,1252,34.6618,133.935,雨宮 武,30000000,
58,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家電-コピ-10004080,家電,コピー機,"HP ファックス, 赤",39752,2,0,1588,34.6618,133.935,雨宮 武,30000000,
59,JP-2018-1018543,2018-03-20 00:00:00,2018-03-25 00:00:00,通常配送,石明-19885,石嶺 明美,大企業,倉敷市,岡山県,日本,中国地方,家具-本棚-10004462,家具,本棚,"Bush クラシック スタイルの本棚, 黒",82806,3,0,13248,34.6618,133.935,雨宮 武,30000000,
60,JP-2019-1024823,2019-05-06 00:00:00,2019-05-10 00:00:00,通常配送,佐丈-10735,佐々本 丈夫,消費者,田川郡川崎町,福岡県,日本,九州,家具-家具-10003438,家具,家具,"Rubvermaid ドア ストッパー, マルチパック",17544,6,0,6132,33.6064,130.4181,矢幡 翔太,35000000,
61,JP-2019-1024823,2019-05-06 00:00:00,2019-05-10 00:00:00,通常配送,佐丈-10735,佐々本 丈夫,消費者,田川郡川崎町,福岡県,日本,九州,事務用-アプ-10001938,事務用品,アプライアンス,"クイジナート 電子レンジ, 白",92200,5,0,19360,33.6064,130.4181,矢幡 翔太,35000000,
62,JP-2019-1026506,2019-05-20 00:00:00,2019-05-24 00:00:00,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,事務用-封筒-10004918,事務用品,封筒,"Cameo テープ付き, リサイクル",5610,5,0.15,-930,35.6895,139.6917,中吉 孝,50000000,
63,JP-2019-1026506,2019-05-20 00:00:00,2019-05-24 00:00:00,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,事務用-ラベ-10000152,事務用品,ラベル,"Hon 輸送用ラベル, 赤",3170.5,5,0.15,850.5,35.6895,139.6917,中吉 孝,50000000,
64,JP-2019-1026506,2019-05-20 00:00:00,2019-05-24 00:00:00,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,事務用-保管-10003857,事務用品,保管箱,"Smead フォルダ, メタル",1876.8,2,0.15,84.8,35.6895,139.6917,中吉 孝,50000000,
65,JP-2019-1026506,2019-05-20 00:00:00,2019-05-24 00:00:00,通常配送,室大-19105,室田 大翔,消費者,新宿区,東京都,日本,関東地方,家具-椅子-10001945,家具,椅子,"Harbour Creations スツール, 黒",10069.1,1,0.15,-1540.9,35.6895,139.6917,中吉 孝,50000000,
66,JP-2019-1030177,2019-02-11 00:00:00,2019-02-15 00:00:00,通常配送,長優-12040,長井 優太,小規模事業所,旭市,千葉県,日本,関東地方,家具-椅子-10000212,家具,椅子,"Hon 折り畳み式の椅子, 調整可能",13425.6,4,0.4,-8286.4,35.6046,140.1233,中吉 孝,50000000,
67,JP-2019-1030177,2019-02-11 00:00:00,2019-02-15 00:00:00,通常配送,長優-12040,長井 優太,小規模事業所,旭市,千葉県,日本,関東地方,事務用-保管-10001381,事務用品,保管箱,"Tenex ロッカー, フル サイズ",24501.6,3,0.4,-16079.4,35.6046,140.1233,中吉 孝,50000000,
68,JP-2017-1031262,2017-09-15 00:00:00,2017-09-18 00:00:00,ファースト クラス,瀬美-14365,瀬川 美咲,大企業,かほく市,石川県,日本,中部地方,事務用-画材-10000295,事務用品,画材,"Sanford ペン, 各種サイズ",666.4,1,0.3,-67.6,36.5947,136.6256,辻岡 美羽,40000000,
69,JP-2017-1031262,2017-09-15 00:00:00,2017-09-18 00:00:00,ファースト クラス,瀬美-14365,瀬川 美咲,大企業,かほく市,石川県,日本,中部地方,事務用-保管-10000812,事務用品,保管箱,"Eldon ロッカー, 業務用",26452,2,0,792,36.5947,136.6256,辻岡 美羽,40000000,
70,JP-2017-1031600,2017-11-08 00:00:00,2017-11-13 00:00:00,通常配送,梶静-13675,梶山 静香,小規模事業所,遠賀郡芦屋町,福岡県,日本,九州,家電-電話-10000487,家電,電話機,"サムスン ヘッドセット, 青",14640,3,0,1608,33.6064,130.4181,矢幡 翔太,35000000,
71,JP-2017-1031976,2017-09-29 00:00:00,2017-10-05 00:00:00,通常配送,門颯-10360,門田 颯太,大企業,旭川市,北海道,日本,北海道,事務用-文房-10002512,事務用品,文房具,"Elite はさみ, 青",5407.2,6,0.4,-2080.8,43.0642,141.3469,宮前 誠,20000000,
72,JP-2018-1032556,2018-04-05 00:00:00,2018-04-12 00:00:00,通常配送,永昭-17185,永末 昭夫,消費者,羽曳野市,大阪府,日本,関西地方,家具-家具-10003666,家具,家具,"Deflect-O 電球, 黒",2532,2,0,808,34.6937,135.5023,金児 皐,50000000,
73,JP-2018-1032556,2018-04-05 00:00:00,2018-04-12 00:00:00,通常配送,永昭-17185,永末 昭夫,消費者,羽曳野市,大阪府,日本,関西地方,事務用-文房-10001181,事務用品,文房具,"Kleencut はさみ, 青",4458,3,0,756,34.6937,135.5023,金児 皐,50000000,
74,JP-2018-1032556,2018-04-05 00:00:00,2018-04-12 00:00:00,通常配送,永昭-17185,永末 昭夫,消費者,羽曳野市,大阪府,日本,関西地方,事務用-封筒-10004780,事務用品,封筒,"Kraft 茶封筒, シルバー",5778,3,0,2712,34.6937,135.5023,金児 皐,50000000,
75,JP-2017-1033858,2017-08-30 00:00:00,2017-09-01 00:00:00,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-バイ-10000078,事務用品,バインダー,"Ibico バインダー カバー, 高耐久性",606,1,0.4,-92,34.9769,138.3831,辻岡 美羽,40000000,
76,JP-2017-1033858,2017-08-30 00:00:00,2017-09-01 00:00:00,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,家電-コピ-10004185,家電,コピー機,"キヤノン インク, デジタル",23486.4,4,0.4,-9401.6,34.9769,138.3831,辻岡 美羽,40000000,
77,JP-2017-1033858,2017-08-30 00:00:00,2017-09-01 00:00:00,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-画材-10002419,事務用品,画材,"Binney & Smith キャンバス, 各種サイズ",17452.8,8,0.4,-6995.2,34.9769,138.3831,辻岡 美羽,40000000,
78,JP-2017-1033858,2017-08-30 00:00:00,2017-09-01 00:00:00,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-封筒-10000164,事務用品,封筒,"Cameo 茶封筒, 赤",7329.6,6,0.4,-4406.4,34.9769,138.3831,辻岡 美羽,40000000,
79,JP-2017-1033858,2017-08-30 00:00:00,2017-09-01 00:00:00,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,家電-コピ-10001181,家電,コピー機,"ブラザー インク, カラー",17848.8,3,0.4,-8335.2,34.9769,138.3831,辻岡 美羽,40000000,
80,JP-2017-1033858,2017-08-30 00:00:00,2017-09-01 00:00:00,セカンド クラス,岩太-15025,岩佐 太陽,消費者,浜松市中区,静岡県,日本,中部地方,事務用-バイ-10004745,事務用品,バインダー,"Avery 穴あけパンチ, リサイクル",2258.4,2,0.4,-753.6,34.9769,138.3831,辻岡 美羽,40000000,
81,JP-2017-1035332,2017-07-21 00:00:00,2017-07-27 00:00:00,通常配送,末誠-11035,末長 誠,消費者,田川郡川崎町,福岡県,日本,九州,事務用-封筒-10001711,事務用品,封筒,"Ames 茶封筒, 赤",3764,2,0,1240,33.6064,130.4181,矢幡 翔太,35000000,
82,JP-2016-1035496,2016-03-17 00:00:00,2016-03-21 00:00:00,通常配送,市義-16945,市瀬 義雄,大企業,津島市,愛知県,日本,中部地方,家電-付属-10001019,家電,付属品,"エナーマックス キーパッド, プログラミング可能",11766,3,0,1878,35.1802,136.9066,辻岡 美羽,40000000,
83,JP-2018-1036006,2018-03-24 00:00:00,2018-03-29 00:00:00,通常配送,水瞳-10885,水上 瞳,消費者,田辺市,和歌山県,日本,関西地方,家具-本棚-10002249,家具,本棚,"Safco キャビネット, 白",34272,3,0,9252,34.226,135.1675,金児 皐,50000000,
84,JP-2018-1036006,2018-03-24 00:00:00,2018-03-29 00:00:00,通常配送,水瞳-10885,水上 瞳,消費者,田辺市,和歌山県,日本,関西地方,家電-電話-10004051,家電,電話機,"モトローラ 信号ブースター, 各種サイズ",9732,1,0,85,34.226,135.1675,金児 皐,50000000,
85,JP-2016-1036650,2016-01-08 00:00:00,2016-01-12 00:00:00,通常配送,須弘-14695,須見 弘子,大企業,松山市,愛媛県,日本,四国,事務用-アプ-10002935,事務用品,アプライアンス,"フーバー 電子レンジ, シルバー",61878,3,0,6186,33.8416,132.7657,川波 結菜,20000000,
86,JP-2016-1036650,2016-01-08 00:00:00,2016-01-12 00:00:00,通常配送,須弘-14695,須見 弘子,大企業,松山市,愛媛県,日本,四国,事務用-バイ-10000961,事務用品,バインダー,"Ibico 穴あけパンチ, リサイクル",14378,7,0,7182,33.8416,132.7657,川波 結菜,20000000,
87,JP-2017-1037654,2017-02-02 00:00:00,2017-02-07 00:00:00,通常配送,宇皐-14440,宇津野 皐,消費者,松原市,大阪府,日本,関西地方,事務用-文房-10001857,事務用品,文房具,"Acme 定規, 長方形",2682,3,0,750,34.6937,135.5023,金児 皐,50000000,
88,JP-2016-1037710,2016-09-27 00:00:00,2016-09-29 00:00:00,セカンド クラス,星海-10210,星屋 海斗,消費者,岩国市,山口県,日本,中国地方,事務用-封筒-10004766,事務用品,封筒,"Cameo 各種封筒, リサイクル",1478.4,1,0.4,-517.6,34.1859,131.4714,雨宮 武,30000000,
89,JP-2016-1037710,2016-09-27 00:00:00,2016-09-29 00:00:00,セカンド クラス,星海-10210,星屋 海斗,消費者,岩国市,山口県,日本,中国地方,家電-コピ-10000255,家電,コピー機,"キヤノン ファックス, デジタル",38163.6,3,0.4,-6998.4,34.1859,131.4714,雨宮 武,30000000,
90,JP-2019-1038631,2019-08-22 00:00:00,2019-08-27 00:00:00,通常配送,霜匠-21175,霜田 匠,大企業,瀬戸市,愛知県,日本,中部地方,家電-電話-10003893,家電,電話機,"ノキア 信号ブースター, フル サイズ",45930,5,0,425,35.1802,136.9066,辻岡 美羽,40000000,
